"","ID","Month","Month.Clutch","Laid","Hatched","Reef","Treatment","expt.x","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Prophatch","Anemone.ID","Clutch.Age","M.tend","Age","expt.y","OLRE"
"176",529,"2",1,193,83,"Luba","C","Y",54,54.5,54.25,41.9,42.7,42.3,"0.8",0.5,0.430051813471503,529,6,14.27986667,"Late","Y",176
"177",529,"2",2,274,207,"Luba","C","Y",54,54.5,54.25,41.9,42.7,42.3,"0.8",0.5,0.755474452554745,NA,NA,NA,NA,NA,177
"178",583,"1",1,256,199,"Limuka","C","Y",54.7,54.5,54.6,39.6,39.6,39.6,"0",-0.2,0.77734375,583,7,8.471116667,"Late","Y",178
"179",583,"2",1,430,354,"Limuka","C","Y",54.7,54.5,54.6,39.6,39.6,39.6,"0",-0.2,0.823255813953488,583,7,12.64336667,"Late","Y",179
"180",583,"2",2,393,340,"Limuka","C","Y",54.7,54.5,54.6,39.6,39.6,39.6,"0",-0.2,0.865139949109415,583,7,13.80051667,"Late","Y",180
"181",583,"2",3,412,374,"Limuka","C","Y",54.7,54.5,54.6,39.6,39.6,39.6,"0",-0.2,0.907766990291262,583,6,10.2225,"Late","Y",181
"182",584,"1",1,159,114,"Crater","M","Y",59.8,58.6,59.2,44,44.8,44.4,"0.8",-1.2,0.716981132075472,584,6,14.0769,"Late","Y",182
"183",584,"2",1,305,222,"Crater","M","Y",59.8,58.6,59.2,44,44.8,44.4,"0.8",-1.2,0.727868852459016,NA,NA,NA,NA,NA,183
"184",585,"1",1,152,132,"Gava 1","F","Y",52.5,52.3,52.4,38.1,38.5,38.3,"0.4",-0.2,0.868421052631579,585,7,14.78383333,"Late","Y",184
"185",585,"1",2,136,131,"Gava 1","F","Y",52.5,52.3,52.4,38.1,38.5,38.3,"0.4",-0.2,0.963235294117647,585,6,14.84001667,"Late","Y",185
"186",585,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,7,13.83873333,"Late","Y",186
"187",585,"2",2,186,163,"Gava 1","F","Y",52.5,52.3,52.4,38.1,38.5,38.3,"0.4",-0.2,0.876344086021505,585,6,12.2827,"Late","Y",187
