"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"43",358,"2",2,"C","Hanging 2","8/5/2018",22,6,13.51533333,3.016583333,0,0,"M","7/14/2018","Late",408,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"44",358,"1",2,"C","Hanging 2","7/10/2018",27,6,14.47058333,1.82865,0,0,"M","6/13/2018","Late",271,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"45",358,"1",2,"C","Hanging 2","7/8/2018",25,4,13.71651667,1.118666667,0,0,"M","6/13/2018","Early",271,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"46",358,"1",1,"C","Hanging 2","6/28/2018",15,3,5.308033333,1.493833333,0,0,"M","6/13/2018","Early",234,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"47",358,"1",1,"C","Hanging 2","7/2/2018",19,7,13.4554,0.847733333,0,0,"M","6/13/2018","Late",234,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"48",358,"2",2,"C","Hanging 2","8/3/2018",20,4,13.80123333,1.464416667,0,0,"M","7/14/2018","Early",408,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"49",358,"2",1,"C","Hanging 2","7/26/2018",12,6,14.76513333,3.293216667,0,0,"M","7/14/2018","Late",430,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"50",358,"2",1,"C","Hanging 2","7/24/2018",10,4,13.99573333,1.218266667,0,0,"M","7/14/2018","Early",430,358,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6
"51",362,"1",1,"M","Marks","6/27/2018",14,7,13.53353333,2.090766667,0,0,"M","6/13/2018","Late",436,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"52",362,"1",1,"M","Marks","6/23/2018",10,3,7.9381,3.179266667,0,0,"M","6/13/2018","Early",436,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
